세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,172,올스텟 +172,35,"3,045",-,"12,950",,,,,,,,,,,172,환생 포인트 획득량 172% 증가,328,"26,843",-,"51,100",,,172,최종 STR 172% 증가,483,"38,890",-,"45,950",,,172,최종 DEX 172% 증가,483,"38,890",-,"45,950",,,172,최종 INT 172% 증가,483,"38,890",-,"45,950",,,172,최종 LUK 172% 증가,483,"38,890",-,"45,950",,,172,최종 공격력 172% 증가,647,"52,351",-,"51,100",,,172,최종 크리티컬 데미지 172% 증가,811,"65,812",-,"54,360",,,,,,,,,,,,,,,,
,173,올스텟 +173,35,"3,080",-,"12,950",,,,,,,,,,,173,환생 포인트 획득량 173% 증가,330,"27,171",-,"51,100",,,173,최종 STR 173% 증가,486,"39,373",-,"45,950",,,173,최종 DEX 173% 증가,486,"39,373",-,"45,950",,,173,최종 INT 173% 증가,486,"39,373",-,"45,950",,,173,최종 LUK 173% 증가,486,"39,373",-,"45,950",,,173,최종 공격력 173% 증가,651,"52,998",-,"51,100",,,173,최종 크리티컬 데미지 173% 증가,816,"66,623",-,"54,360",,,,,,,,,,,,,,,,
,174,올스텟 +174,35,"3,115",-,"12,950",,,,,,,,,,,174,환생 포인트 획득량 174% 증가,332,"27,501",-,"51,100",,,174,최종 STR 174% 증가,489,"39,859",-,"45,950",,,174,최종 DEX 174% 증가,489,"39,859",-,"45,950",,,174,최종 INT 174% 증가,489,"39,859",-,"45,950",,,174,최종 LUK 174% 증가,489,"39,859",-,"45,950",,,174,최종 공격력 174% 증가,655,"53,649",-,"51,100",,,174,최종 크리티컬 데미지 174% 증가,821,"67,439",-,"54,360",,,,,,,,,,,,,,,,
,175,올스텟 +175,36,"3,150",💎 550,"13,500",,,,,,,,,,,175,환생 포인트 획득량 175% 증가,334,"27,833","💎 2,000","53,100",,,175,최종 STR 175% 증가,492,"40,348","💎 2,000","47,950",,,175,최종 DEX 175% 증가,492,"40,348","💎 2,000","47,950",,,175,최종 INT 175% 증가,492,"40,348","💎 2,000","47,950",,,175,최종 LUK 175% 증가,492,"40,348","💎 2,000","47,950",,,175,최종 공격력 175% 증가,659,"54,304","💎 2,000","53,100",,,175,최종 크리티컬 데미지 175% 증가,826,"68,260","💎 2,000","56,360",,,,,,,,,,,,,,,,
,176,올스텟 +176,36,"3,186",-,"13,500",,,,,,,,,,,176,환생 포인트 획득량 176% 증가,336,"28,167",-,"53,100",,,176,최종 STR 176% 증가,495,"40,840",-,"47,950",,,176,최종 DEX 176% 증가,495,"40,840",-,"47,950",,,176,최종 INT 176% 증가,495,"40,840",-,"47,950",,,176,최종 LUK 176% 증가,495,"40,840",-,"47,950",,,176,최종 공격력 176% 증가,663,"54,963",-,"53,100",,,176,최종 크리티컬 데미지 176% 증가,831,"69,086",-,"56,360",,,,,,,,,,,,,,,,
,177,올스텟 +177,36,"3,222",-,"13,500",,,,,,,,,,,177,환생 포인트 획득량 177% 증가,338,"28,503",-,"53,100",,,177,최종 STR 177% 증가,498,"41,335",-,"47,950",,,177,최종 DEX 177% 증가,498,"41,335",-,"47,950",,,177,최종 INT 177% 증가,498,"41,335",-,"47,950",,,177,최종 LUK 177% 증가,498,"41,335",-,"47,950",,,177,최종 공격력 177% 증가,668,"55,626",-,"53,100",,,177,최종 크리티컬 데미지 177% 증가,837,"69,917",-,"56,360",,,,,,,,,,,,,,,,
,178,올스텟 +178,36,"3,258",-,"13,500",,,,,,,,,,,178,환생 포인트 획득량 178% 증가,340,"28,841",-,"53,100",,,178,최종 STR 178% 증가,501,"41,833",-,"47,950",,,178,최종 DEX 178% 증가,501,"41,833",-,"47,950",,,178,최종 INT 178% 증가,501,"41,833",-,"47,950",,,178,최종 LUK 178% 증가,501,"41,833",-,"47,950",,,178,최종 공격력 178% 증가,672,"56,294",-,"53,100",,,178,최종 크리티컬 데미지 178% 증가,842,"70,754",-,"56,360",,,,,,,,,,,,,,,,
,179,올스텟 +179,36,"3,294",-,"13,500",,,,,,,,,,,179,환생 포인트 획득량 179% 증가,342,"29,181",-,"53,100",,,179,최종 STR 179% 증가,505,"42,334",-,"47,950",,,179,최종 DEX 179% 증가,505,"42,334",-,"47,950",,,179,최종 INT 179% 증가,505,"42,334",-,"47,950",,,179,최종 LUK 179% 증가,505,"42,334",-,"47,950",,,179,최종 공격력 179% 증가,676,"56,966",-,"53,100",,,179,최종 크리티컬 데미지 179% 증가,847,"71,596",-,"56,360",,,,,,,,,,,,,,,,
,180,올스텟 +180,37,"3,330",💎 560,"14,060",,,,,,,,,,,180,환생 포인트 획득량 180% 증가,344,"29,523","💎 2,000","55,100",,,180,최종 STR 180% 증가,508,"42,839","💎 2,000","49,950",,,180,최종 DEX 180% 증가,508,"42,839","💎 2,000","49,950",,,180,최종 INT 180% 증가,508,"42,839","💎 2,000","49,950",,,180,최종 LUK 180% 증가,508,"42,839","💎 2,000","49,950",,,180,최종 공격력 180% 증가,680,"57,642","💎 2,000","55,100",,,180,최종 크리티컬 데미지 180% 증가,852,"72,443","💎 2,000","58,360",,,,,,,,,,,,,,,,
,181,올스텟 +181,37,"3,367",-,"14,060",,,,,,,,,,,181,환생 포인트 획득량 181% 증가,346,"29,867",-,"55,100",,,181,최종 STR 181% 증가,511,"43,347",-,"49,950",,,181,최종 DEX 181% 증가,511,"43,347",-,"49,950",,,181,최종 INT 181% 증가,511,"43,347",-,"49,950",,,181,최종 LUK 181% 증가,511,"43,347",-,"49,950",,,181,최종 공격력 181% 증가,684,"58,322",-,"55,100",,,181,최종 크리티컬 데미지 181% 증가,858,"73,295",-,"58,360",,,,,,,,,,,,,,,,
,182,올스텟 +182,37,"3,404",-,"14,060",,,,,,,,,,,182,환생 포인트 획득량 182% 증가,348,"30,213",-,"55,100",,,182,최종 STR 182% 증가,514,"43,858",-,"49,950",,,182,최종 DEX 182% 증가,514,"43,858",-,"49,950",,,182,최종 INT 182% 증가,514,"43,858",-,"49,950",,,182,최종 LUK 182% 증가,514,"43,858",-,"49,950",,,182,최종 공격력 182% 증가,688,"59,006",-,"55,100",,,182,최종 크리티컬 데미지 182% 증가,863,"74,153",-,"58,360",,,,,,,,,,,,,,,,
,183,올스텟 +183,37,"3,441",-,"14,060",,,,,,,,,,,183,환생 포인트 획득량 183% 증가,350,"30,561",-,"55,100",,,183,최종 STR 183% 증가,517,"44,372",-,"49,950",,,183,최종 DEX 183% 증가,517,"44,372",-,"49,950",,,183,최종 INT 183% 증가,517,"44,372",-,"49,950",,,183,최종 LUK 183% 증가,517,"44,372",-,"49,950",,,183,최종 공격력 183% 증가,693,"59,694",-,"55,100",,,183,최종 크리티컬 데미지 183% 증가,868,"75,016",-,"58,360",,,,,,,,,,,,,,,,
,184,올스텟 +184,37,"3,478",-,"14,060",,,,,,,,,,,184,환생 포인트 획득량 184% 증가,352,"30,911",-,"55,100",,,184,최종 STR 184% 증가,520,"44,889",-,"49,950",,,184,최종 DEX 184% 증가,520,"44,889",-,"49,950",,,184,최종 INT 184% 증가,520,"44,889",-,"49,950",,,184,최종 LUK 184% 증가,520,"44,889",-,"49,950",,,184,최종 공격력 184% 증가,697,"60,387",-,"55,100",,,184,최종 크리티컬 데미지 184% 증가,873,"75,884",-,"58,360",,,,,,,,,,,,,,,,
,185,올스텟 +185,38,"3,515",💎 570,"14,630",,,,,,,,,,,185,환생 포인트 획득량 185% 증가,355,"31,263","💎 2,000","57,100",,,185,최종 STR 185% 증가,524,"45,409","💎 2,000","51,950",,,185,최종 DEX 185% 증가,524,"45,409","💎 2,000","51,950",,,185,최종 INT 185% 증가,524,"45,409","💎 2,000","51,950",,,185,최종 LUK 185% 증가,524,"45,409","💎 2,000","51,950",,,185,최종 공격력 185% 증가,701,"61,084","💎 2,000","57,100",,,185,최종 크리티컬 데미지 185% 증가,879,"76,757","💎 2,000","60,360",,,,,,,,,,,,,,,,
,186,올스텟 +186,38,"3,553",-,"14,630",,,,,,,,,,,186,환생 포인트 획득량 186% 증가,357,"31,618",-,"57,100",,,186,최종 STR 186% 증가,527,"45,933",-,"51,950",,,186,최종 DEX 186% 증가,527,"45,933",-,"51,950",,,186,최종 INT 186% 증가,527,"45,933",-,"51,950",,,186,최종 LUK 186% 증가,527,"45,933",-,"51,950",,,186,최종 공격력 186% 증가,705,"61,785",-,"57,100",,,186,최종 크리티컬 데미지 186% 증가,884,"77,636",-,"60,360",,,,,,,,,,,,,,,,
,187,올스텟 +187,38,"3,591",-,"14,630",,,,,,,,,,,187,환생 포인트 획득량 187% 증가,359,"31,975",-,"57,100",,,187,최종 STR 187% 증가,530,"46,460",-,"51,950",,,187,최종 DEX 187% 증가,530,"46,460",-,"51,950",,,187,최종 INT 187% 증가,530,"46,460",-,"51,950",,,187,최종 LUK 187% 증가,530,"46,460",-,"51,950",,,187,최종 공격력 187% 증가,709,"62,490",-,"57,100",,,187,최종 크리티컬 데미지 187% 증가,889,"78,520",-,"60,360",,,,,,,,,,,,,,,,
,188,올스텟 +188,38,"3,629",-,"14,630",,,,,,,,,,,188,환생 포인트 획득량 188% 증가,361,"32,334",-,"57,100",,,188,최종 STR 188% 증가,533,"46,990",-,"51,950",,,188,최종 DEX 188% 증가,533,"46,990",-,"51,950",,,188,최종 INT 188% 증가,533,"46,990",-,"51,950",,,188,최종 LUK 188% 증가,533,"46,990",-,"51,950",,,188,최종 공격력 188% 증가,714,"63,199",-,"57,100",,,188,최종 크리티컬 데미지 188% 증가,894,"79,409",-,"60,360",,,,,,,,,,,,,,,,
,189,올스텟 +189,38,"3,667",-,"14,630",,,,,,,,,,,189,환생 포인트 획득량 189% 증가,363,"32,695",-,"57,100",,,189,최종 STR 189% 증가,536,"47,523",-,"51,950",,,189,최종 DEX 189% 증가,536,"47,523",-,"51,950",,,189,최종 INT 189% 증가,536,"47,523",-,"51,950",,,189,최종 LUK 189% 증가,536,"47,523",-,"51,950",,,189,최종 공격력 189% 증가,718,"63,913",-,"57,100",,,189,최종 크리티컬 데미지 189% 증가,900,"80,303",-,"60,360",,,,,,,,,,,,,,,,
,190,올스텟 +190,39,"3,705",💎 580,"15,210",,,,,,,,,,,190,환생 포인트 획득량 190% 증가,365,"33,058","💎 2,000","59,100",,,190,최종 STR 190% 증가,539,"48,059","💎 2,000","53,950",,,190,최종 DEX 190% 증가,539,"48,059","💎 2,000","53,950",,,190,최종 INT 190% 증가,539,"48,059","💎 2,000","53,950",,,190,최종 LUK 190% 증가,539,"48,059","💎 2,000","53,950",,,190,최종 공격력 190% 증가,722,"64,631","💎 2,000","59,100",,,190,최종 크리티컬 데미지 190% 증가,905,"81,203","💎 2,000","62,360",,,,,,,,,,,,,,,,
,191,올스텟 +191,39,"3,744",-,"15,210",,,,,,,,,,,191,환생 포인트 획득량 191% 증가,367,"33,423",-,"59,100",,,191,최종 STR 191% 증가,543,"48,598",-,"53,950",,,191,최종 DEX 191% 증가,543,"48,598",-,"53,950",,,191,최종 INT 191% 증가,543,"48,598",-,"53,950",,,191,최종 LUK 191% 증가,543,"48,598",-,"53,950",,,191,최종 공격력 191% 증가,726,"65,353",-,"59,100",,,191,최종 크리티컬 데미지 191% 증가,910,"82,108",-,"62,360",,,,,,,,,,,,,,,,
,192,올스텟 +192,39,"3,783",-,"15,210",,,,,,,,,,,192,환생 포인트 획득량 192% 증가,369,"33,790",-,"59,100",,,192,최종 STR 192% 증가,546,"49,141",-,"53,950",,,192,최종 DEX 192% 증가,546,"49,141",-,"53,950",,,192,최종 INT 192% 증가,546,"49,141",-,"53,950",,,192,최종 LUK 192% 증가,546,"49,141",-,"53,950",,,192,최종 공격력 192% 증가,731,"66,079",-,"59,100",,,192,최종 크리티컬 데미지 192% 증가,915,"83,018",-,"62,360",,,,,,,,,,,,,,,,
,193,올스텟 +193,39,"3,822",-,"15,210",,,,,,,,,,,193,환생 포인트 획득량 193% 증가,371,"34,159",-,"59,100",,,193,최종 STR 193% 증가,549,"49,687",-,"53,950",,,193,최종 DEX 193% 증가,549,"49,687",-,"53,950",,,193,최종 INT 193% 증가,549,"49,687",-,"53,950",,,193,최종 LUK 193% 증가,549,"49,687",-,"53,950",,,193,최종 공격력 193% 증가,735,"66,810",-,"59,100",,,193,최종 크리티컬 데미지 193% 증가,921,"83,933",-,"62,360",,,,,,,,,,,,,,,,
,194,올스텟 +194,39,"3,861",-,"15,210",,,,,,,,,,,194,환생 포인트 획득량 194% 증가,373,"34,530",-,"59,100",,,194,최종 STR 194% 증가,552,"50,236",-,"53,950",,,194,최종 DEX 194% 증가,552,"50,236",-,"53,950",,,194,최종 INT 194% 증가,552,"50,236",-,"53,950",,,194,최종 LUK 194% 증가,552,"50,236",-,"53,950",,,194,최종 공격력 194% 증가,739,"67,545",-,"59,100",,,194,최종 크리티컬 데미지 194% 증가,926,"84,854",-,"62,360",,,,,,,,,,,,,,,,
,195,올스텟 +195,40,"3,900",💎 590,"15,800",,,,,,,,,,,195,환생 포인트 획득량 195% 증가,375,"34,903","💎 2,000","61,100",,,195,최종 STR 195% 증가,555,"50,788","💎 2,000","55,950",,,195,최종 DEX 195% 증가,555,"50,788","💎 2,000","55,950",,,195,최종 INT 195% 증가,555,"50,788","💎 2,000","55,950",,,195,최종 LUK 195% 증가,555,"50,788","💎 2,000","55,950",,,195,최종 공격력 195% 증가,743,"68,284","💎 2,000","61,100",,,195,최종 크리티컬 데미지 195% 증가,931,"85,780","💎 2,000","64,360",,,,,,,,,,,,,,,,
,196,올스텟 +196,40,"3,940",-,"15,800",,,,,,,,,,,196,환생 포인트 획득량 196% 증가,377,"35,278",-,"61,100",,,196,최종 STR 196% 증가,558,"51,343",-,"55,950",,,196,최종 DEX 196% 증가,558,"51,343",-,"55,950",,,196,최종 INT 196% 증가,558,"51,343",-,"55,950",,,196,최종 LUK 196% 증가,558,"51,343",-,"55,950",,,196,최종 공격력 196% 증가,747,"69,027",-,"61,100",,,196,최종 크리티컬 데미지 196% 증가,936,"86,711",-,"64,360",,,,,,,,,,,,,,,,
,197,올스텟 +197,40,"3,980",-,"15,800",,,,,,,,,,,197,환생 포인트 획득량 197% 증가,380,"35,655",-,"61,100",,,197,최종 STR 197% 증가,562,"51,901",-,"55,950",,,197,최종 DEX 197% 증가,562,"51,901",-,"55,950",,,197,최종 INT 197% 증가,562,"51,901",-,"55,950",,,197,최종 LUK 197% 증가,562,"51,901",-,"55,950",,,197,최종 공격력 197% 증가,752,"69,774",-,"61,100",,,197,최종 크리티컬 데미지 197% 증가,942,"87,647",-,"64,360",,,,,,,,,,,,,,,,
,198,올스텟 +198,40,"4,020",-,"15,800",,,,,,,,,,,198,환생 포인트 획득량 198% 증가,382,"36,035",-,"61,100",,,198,최종 STR 198% 증가,565,"52,463",-,"55,950",,,198,최종 DEX 198% 증가,565,"52,463",-,"55,950",,,198,최종 INT 198% 증가,565,"52,463",-,"55,950",,,198,최종 LUK 198% 증가,565,"52,463",-,"55,950",,,198,최종 공격력 198% 증가,756,"70,526",-,"61,100",,,198,최종 크리티컬 데미지 198% 증가,947,"88,589",-,"64,360",,,,,,,,,,,,,,,,
,199,올스텟 +199,40,"4,060",-,"15,800",,,,,,,,,,,199,환생 포인트 획득량 199% 증가,384,"36,417",-,"61,100",,,199,최종 STR 199% 증가,568,"53,028",-,"55,950",,,199,최종 DEX 199% 증가,568,"53,028",-,"55,950",,,199,최종 INT 199% 증가,568,"53,028",-,"55,950",,,199,최종 LUK 199% 증가,568,"53,028",-,"55,950",,,199,최종 공격력 199% 증가,760,"71,282",-,"61,100",,,199,최종 크리티컬 데미지 199% 증가,952,"89,536",-,"64,360",,,,,,,,,,,,,,,,
,200,올스텟 +200,41,"4,100",💎 600,"16,400",,,,,,,,,,,200,환생 포인트 획득량 200% 증가,386,"36,801","💎 2,000","63,100",,,200,최종 STR 200% 증가,571,"53,596","💎 2,000","57,950",,,200,최종 DEX 200% 증가,571,"53,596","💎 2,000","57,950",,,200,최종 INT 200% 증가,571,"53,596","💎 2,000","57,950",,,200,최종 LUK 200% 증가,571,"53,596","💎 2,000","57,950",,,200,최종 공격력 200% 증가,764,"72,042","💎 2,000","63,100",,,200,최종 크리티컬 데미지 200% 증가,958,"90,488","💎 2,000","66,360",,,,,,,,,,,,,,,,
,201,올스텟 +201,41,"4,141",-,"16,400",,,,,,,,,,,201,환생 포인트 획득량 201% 증가,388,"37,187",-,"63,100",,,201,최종 STR 201% 증가,574,"54,167",-,"57,950",,,201,최종 DEX 201% 증가,574,"54,167",-,"57,950",,,201,최종 INT 201% 증가,574,"54,167",-,"57,950",,,201,최종 LUK 201% 증가,574,"54,167",-,"57,950",,,201,최종 공격력 201% 증가,769,"72,806",-,"63,100",,,201,최종 크리티컬 데미지 201% 증가,963,"91,446",-,"66,360",,,,,,,,,,,,,,,,
,202,올스텟 +202,41,"4,182",-,"16,400",,,,,,,,,,,202,환생 포인트 획득량 202% 증가,390,"37,575",-,"63,100",,,202,최종 STR 202% 증가,578,"54,741",-,"57,950",,,202,최종 DEX 202% 증가,578,"54,741",-,"57,950",,,202,최종 INT 202% 증가,578,"54,741",-,"57,950",,,202,최종 LUK 202% 증가,578,"54,741",-,"57,950",,,202,최종 공격력 202% 증가,773,"73,575",-,"63,100",,,202,최종 크리티컬 데미지 202% 증가,968,"92,409",-,"66,360",,,,,,,,,,,,,,,,
,203,올스텟 +203,41,"4,223",-,"16,400",,,,,,,,,,,203,환생 포인트 획득량 203% 증가,392,"37,965",-,"63,100",,,203,최종 STR 203% 증가,581,"55,319",-,"57,950",,,203,최종 DEX 203% 증가,581,"55,319",-,"57,950",,,203,최종 INT 203% 증가,581,"55,319",-,"57,950",,,203,최종 LUK 203% 증가,581,"55,319",-,"57,950",,,203,최종 공격력 203% 증가,777,"74,348",-,"63,100",,,203,최종 크리티컬 데미지 203% 증가,973,"93,377",-,"66,360",,,,,,,,,,,,,,,,
,204,올스텟 +204,41,"4,264",-,"16,400",,,,,,,,,,,204,환생 포인트 획득량 204% 증가,394,"38,357",-,"63,100",,,204,최종 STR 204% 증가,584,"55,900",-,"57,950",,,204,최종 DEX 204% 증가,584,"55,900",-,"57,950",,,204,최종 INT 204% 증가,584,"55,900",-,"57,950",,,204,최종 LUK 204% 증가,584,"55,900",-,"57,950",,,204,최종 공격력 204% 증가,781,"75,125",-,"63,100",,,204,최종 크리티컬 데미지 204% 증가,979,"94,350",-,"66,360",,,,,,,,,,,,,,,,
,205,올스텟 +205,42,"4,305",💎 610,"17,010",,,,,,,,,,,205,환생 포인트 획득량 205% 증가,396,"38,751","💎 2,000","65,100",,,205,최종 STR 205% 증가,587,"56,484","💎 2,000","59,950",,,205,최종 DEX 205% 증가,587,"56,484","💎 2,000","59,950",,,205,최종 INT 205% 증가,587,"56,484","💎 2,000","59,950",,,205,최종 LUK 205% 증가,587,"56,484","💎 2,000","59,950",,,205,최종 공격력 205% 증가,786,"75,906","💎 2,000","65,100",,,205,최종 크리티컬 데미지 205% 증가,984,"95,329","💎 2,000","68,360",,,,,,,,,,,,,,,,
,206,올스텟 +206,42,"4,347",-,"17,010",,,,,,,,,,,206,환생 포인트 획득량 206% 증가,398,"39,147",-,"65,100",,,206,최종 STR 206% 증가,590,"57,071",-,"59,950",,,206,최종 DEX 206% 증가,590,"57,071",-,"59,950",,,206,최종 INT 206% 증가,590,"57,071",-,"59,950",,,206,최종 LUK 206% 증가,590,"57,071",-,"59,950",,,206,최종 공격력 206% 증가,790,"76,692",-,"65,100",,,206,최종 크리티컬 데미지 206% 증가,989,"96,313",-,"68,360",,,,,,,,,,,,,,,,
,207,올스텟 +207,42,"4,389",-,"17,010",,,,,,,,,,,207,환생 포인트 획득량 207% 증가,401,"39,545",-,"65,100",,,207,최종 STR 207% 증가,594,"57,661",-,"59,950",,,207,최종 DEX 207% 증가,594,"57,661",-,"59,950",,,207,최종 INT 207% 증가,594,"57,661",-,"59,950",,,207,최종 LUK 207% 증가,594,"57,661",-,"59,950",,,207,최종 공격력 207% 증가,794,"77,482",-,"65,100",,,207,최종 크리티컬 데미지 207% 증가,995,"97,302",-,"68,360",,,,,,,,,,,,,,,,
,208,올스텟 +208,42,"4,431",-,"17,010",,,,,,,,,,,208,환생 포인트 획득량 208% 증가,403,"39,946",-,"65,100",,,208,최종 STR 208% 증가,597,"58,255",-,"59,950",,,208,최종 DEX 208% 증가,597,"58,255",-,"59,950",,,208,최종 INT 208% 증가,597,"58,255",-,"59,950",,,208,최종 LUK 208% 증가,597,"58,255",-,"59,950",,,208,최종 공격력 208% 증가,798,"78,276",-,"65,100",,,208,최종 크리티컬 데미지 208% 증가,"1,000","98,297",-,"68,360",,,,,,,,,,,,,,,,
,209,올스텟 +209,42,"4,473",-,"17,010",,,,,,,,,,,209,환생 포인트 획득량 209% 증가,405,"40,349",-,"65,100",,,209,최종 STR 209% 증가,600,"58,852",-,"59,950",,,209,최종 DEX 209% 증가,600,"58,852",-,"59,950",,,209,최종 INT 209% 증가,600,"58,852",-,"59,950",,,209,최종 LUK 209% 증가,600,"58,852",-,"59,950",,,209,최종 공격력 209% 증가,803,"79,074",-,"65,100",,,209,최종 크리티컬 데미지 209% 증가,"1,005","99,297",-,"68,360",,,,,,,,,,,,,,,,
,210,올스텟 +210,43,"4,515",💎 620,"17,630",,,,,,,,,,,210,환생 포인트 획득량 210% 증가,407,"40,754","💎 2,000","67,100",,,210,최종 STR 210% 증가,603,"59,452","💎 2,000","61,950",,,210,최종 DEX 210% 증가,603,"59,452","💎 2,000","61,950",,,210,최종 INT 210% 증가,603,"59,452","💎 2,000","61,950",,,210,최종 LUK 210% 증가,603,"59,452","💎 2,000","61,950",,,210,최종 공격력 210% 증가,807,"79,877","💎 2,000","67,100",,,210,최종 크리티컬 데미지 210% 증가,"1,011","100,302","💎 2,000","70,360",,,,,,,,,,,,,,,,
,211,올스텟 +211,43,"4,558",-,"17,630",,,,,,,,,,,211,환생 포인트 획득량 211% 증가,409,"41,161",-,"67,100",,,211,최종 STR 211% 증가,606,"60,055",-,"61,950",,,211,최종 DEX 211% 증가,606,"60,055",-,"61,950",,,211,최종 INT 211% 증가,606,"60,055",-,"61,950",,,211,최종 LUK 211% 증가,606,"60,055",-,"61,950",,,211,최종 공격력 211% 증가,811,"80,684",-,"67,100",,,211,최종 크리티컬 데미지 211% 증가,"1,016","101,313",-,"70,360",,,,,,,,,,,,,,,,
,212,올스텟 +212,43,"4,601",-,"17,630",,,,,,,,,,,212,환생 포인트 획득량 212% 증가,411,"41,570",-,"67,100",,,212,최종 STR 212% 증가,610,"60,661",-,"61,950",,,212,최종 DEX 212% 증가,610,"60,661",-,"61,950",,,212,최종 INT 212% 증가,610,"60,661",-,"61,950",,,212,최종 LUK 212% 증가,610,"60,661",-,"61,950",,,212,최종 공격력 212% 증가,815,"81,495",-,"67,100",,,212,최종 크리티컬 데미지 212% 증가,"1,021","102,329",-,"70,360",,,,,,,,,,,,,,,,
,213,올스텟 +213,43,"4,644",-,"17,630",,,,,,,,,,,213,환생 포인트 획득량 213% 증가,413,"41,981",-,"67,100",,,213,최종 STR 213% 증가,613,"61,271",-,"61,950",,,213,최종 DEX 213% 증가,613,"61,271",-,"61,950",,,213,최종 INT 213% 증가,613,"61,271",-,"61,950",,,213,최종 LUK 213% 증가,613,"61,271",-,"61,950",,,213,최종 공격력 213% 증가,820,"82,310",-,"67,100",,,213,최종 크리티컬 데미지 213% 증가,"1,026","103,350",-,"70,360",,,,,,,,,,,,,,,,
,214,올스텟 +214,43,"4,687",-,"17,630",,,,,,,,,,,214,환생 포인트 획득량 214% 증가,415,"42,394",-,"67,100",,,214,최종 STR 214% 증가,616,"61,884",-,"61,950",,,214,최종 DEX 214% 증가,616,"61,884",-,"61,950",,,214,최종 INT 214% 증가,616,"61,884",-,"61,950",,,214,최종 LUK 214% 증가,616,"61,884",-,"61,950",,,214,최종 공격력 214% 증가,824,"83,130",-,"67,100",,,214,최종 크리티컬 데미지 214% 증가,"1,032","104,376",-,"70,360",,,,,,,,,,,,,,,,
,215,올스텟 +215,44,"4,730",💎 630,"18,260",,,,,,,,,,,215,환생 포인트 획득량 215% 증가,417,"42,809","💎 2,000","69,100",,,215,최종 STR 215% 증가,619,"62,500","💎 2,000","63,950",,,215,최종 DEX 215% 증가,619,"62,500","💎 2,000","63,950",,,215,최종 INT 215% 증가,619,"62,500","💎 2,000","63,950",,,215,최종 LUK 215% 증가,619,"62,500","💎 2,000","63,950",,,215,최종 공격력 215% 증가,828,"83,954","💎 2,000","69,100",,,215,최종 크리티컬 데미지 215% 증가,"1,037","105,408","💎 2,000","72,360",,,,,,,,,,,,,,,,
,216,올스텟 +216,44,"4,774",-,"18,260",,,,,,,,,,,216,환생 포인트 획득량 216% 증가,419,"43,226",-,"69,100",,,216,최종 STR 216% 증가,622,"63,119",-,"63,950",,,216,최종 DEX 216% 증가,622,"63,119",-,"63,950",,,216,최종 INT 216% 증가,622,"63,119",-,"63,950",,,216,최종 LUK 216% 증가,622,"63,119",-,"63,950",,,216,최종 공격력 216% 증가,832,"84,782",-,"69,100",,,216,최종 크리티컬 데미지 216% 증가,"1,042","106,445",-,"72,360",,,,,,,,,,,,,,,,
,217,올스텟 +217,44,"4,818",-,"18,260",,,,,,,,,,,217,환생 포인트 획득량 217% 증가,422,"43,645",-,"69,100",,,217,최종 STR 217% 증가,626,"63,741",-,"63,950",,,217,최종 DEX 217% 증가,626,"63,741",-,"63,950",,,217,최종 INT 217% 증가,626,"63,741",-,"63,950",,,217,최종 LUK 217% 증가,626,"63,741",-,"63,950",,,217,최종 공격력 217% 증가,837,"85,614",-,"69,100",,,217,최종 크리티컬 데미지 217% 증가,"1,048","107,487",-,"72,360",,,,,,,,,,,,,,,,
,218,올스텟 +218,44,"4,862",-,"18,260",,,,,,,,,,,218,환생 포인트 획득량 218% 증가,424,"44,067",-,"69,100",,,218,최종 STR 218% 증가,629,"64,367",-,"63,950",,,218,최종 DEX 218% 증가,629,"64,367",-,"63,950",,,218,최종 INT 218% 증가,629,"64,367",-,"63,950",,,218,최종 LUK 218% 증가,629,"64,367",-,"63,950",,,218,최종 공격력 218% 증가,841,"86,451",-,"69,100",,,218,최종 크리티컬 데미지 218% 증가,"1,053","108,535",-,"72,360",,,,,,,,,,,,,,,,
